task_description,task_id,actual_points,predicted_points,absolute_error,relative_error,accuracy_category,fibonacci_compliant,original_user_story
Set up cloud.gov account and project space,CLD_001,3,2,1,0.3333333333333333,acceptable,True,"As a team member, I want to see the first iteration of beta up on cloud.gov..."
Configure deployment pipeline,CLD_002,4,5,1,0.25,acceptable,True,"As a team member, I want to see the first iteration of beta up on cloud.gov..."
Deploy beta version to cloud.gov,CLD_003,3,5,2,0.6666666666666666,poor,True,"As a team member, I want to see the first iteration of beta up on cloud.gov..."
Test deployment and verify functionality,CLD_004,2,5,3,1.5,poor,True,"As a team member, I want to see the first iteration of beta up on cloud.gov..."
Share access credentials with team members,CLD_005,1,1,0,0.0,perfect,True,"As a team member, I want to see the first iteration of beta up on cloud.gov..."
Request subdomain creation through NSF IT,SUB_001,2,2,0,0.0,perfect,True,"As a developer, I want to have the subdomain beta.nsf.gov be set up, so that I can deploy a beta sit..."
Configure DNS settings for beta.nsf.gov,SUB_002,3,2,1,0.3333333333333333,acceptable,True,"As a developer, I want to have the subdomain beta.nsf.gov be set up, so that I can deploy a beta sit..."
Set up SSL certificate for subdomain,SUB_003,3,3,0,0.0,perfect,True,"As a developer, I want to have the subdomain beta.nsf.gov be set up, so that I can deploy a beta sit..."
Configure deployment pipeline to use subdomain,SUB_004,3,5,2,0.6666666666666666,poor,True,"As a developer, I want to have the subdomain beta.nsf.gov be set up, so that I can deploy a beta sit..."
Test subdomain accessibility and routing,SUB_005,2,5,3,1.5,poor,True,"As a developer, I want to have the subdomain beta.nsf.gov be set up, so that I can deploy a beta sit..."
Research FISMA low requirements documentation,FIS_001,4,2,2,0.5,acceptable,True,"As an NSF employee, I want to understand the process of switching the cloud.gov hosting plan over fr..."
Schedule meeting with cloud.gov support team,FIS_002,2,1,1,0.5,acceptable,True,"As an NSF employee, I want to understand the process of switching the cloud.gov hosting plan over fr..."
Document current prototype configuration,FIS_003,3,2,1,0.3333333333333333,acceptable,True,"As an NSF employee, I want to understand the process of switching the cloud.gov hosting plan over fr..."
Create migration checklist and timeline,FIS_004,4,5,1,0.25,acceptable,True,"As an NSF employee, I want to understand the process of switching the cloud.gov hosting plan over fr..."
Prepare compliance documentation,FIS_005,3,5,2,0.6666666666666666,poor,True,"As an NSF employee, I want to understand the process of switching the cloud.gov hosting plan over fr..."
Schedule meeting with DIS and cloud.gov teams,ATO_001,2,1,1,0.5,acceptable,True,"As a team member, I want to meet with DIS / cloud.gov, so that I can determine the requirements for ..."
Prepare list of ATO-related questions,ATO_002,3,2,1,0.3333333333333333,acceptable,True,"As a team member, I want to meet with DIS / cloud.gov, so that I can determine the requirements for ..."
Document ATO requirements and timeline,ATO_003,4,2,2,0.5,acceptable,True,"As a team member, I want to meet with DIS / cloud.gov, so that I can determine the requirements for ..."
Create compliance action plan,ATO_004,3,5,2,0.6666666666666666,poor,True,"As a team member, I want to meet with DIS / cloud.gov, so that I can determine the requirements for ..."
Assign responsibility for ATO tasks,ATO_005,2,2,0,0.0,perfect,True,"As a team member, I want to meet with DIS / cloud.gov, so that I can determine the requirements for ..."
