task_description,task_id,actual_skills,predicted_skills,precision,recall,f1_score,jaccard_similarity,exact_match,accuracy_category,num_actual_skills,num_predicted_skills,num_matched_skills,original_user_story,error
Set up cloud.gov account and project space,CLD_001,"['devops', 'account_management', 'cloud_platforms']",[],0.0,0.0,0.0,0.0,False,error,3,0,0,"As a team member, I want to see the first iteration of beta up on cloud.gov...",'RequiredSkillsAgent' object has no attribute 'map_skills'
Configure deployment pipeline,CLD_002,"['devops', 'ci_cd', 'pipeline_configuration']",[],0.0,0.0,0.0,0.0,False,error,3,0,0,"As a team member, I want to see the first iteration of beta up on cloud.gov...",'RequiredSkillsAgent' object has no attribute 'map_skills'
Deploy beta version to cloud.gov,CLD_003,"['deployment', 'devops', 'cloud_platforms']",[],0.0,0.0,0.0,0.0,False,error,3,0,0,"As a team member, I want to see the first iteration of beta up on cloud.gov...",'RequiredSkillsAgent' object has no attribute 'map_skills'
Test deployment and verify functionality,CLD_004,"['testing', 'functional_testing', 'qa']",[],0.0,0.0,0.0,0.0,False,error,3,0,0,"As a team member, I want to see the first iteration of beta up on cloud.gov...",'RequiredSkillsAgent' object has no attribute 'map_skills'
Share access credentials with team members,CLD_005,"['communication', 'access_management', 'documentation']",[],0.0,0.0,0.0,0.0,False,error,3,0,0,"As a team member, I want to see the first iteration of beta up on cloud.gov...",'RequiredSkillsAgent' object has no attribute 'map_skills'
Request subdomain creation through NSF IT,SUB_001,"['communication', 'it_coordination', 'documentation']",[],0.0,0.0,0.0,0.0,False,error,3,0,0,"As a developer, I want to have the subdomain beta.nsf.gov be set up, so that I can deploy a beta sit...",'RequiredSkillsAgent' object has no attribute 'map_skills'
Configure DNS settings for beta.nsf.gov,SUB_002,"['domain_configuration', 'networking', 'dns_management']",[],0.0,0.0,0.0,0.0,False,error,3,0,0,"As a developer, I want to have the subdomain beta.nsf.gov be set up, so that I can deploy a beta sit...",'RequiredSkillsAgent' object has no attribute 'map_skills'
Set up SSL certificate for subdomain,SUB_003,"['security', 'certificate_management', 'ssl_certificates']",[],0.0,0.0,0.0,0.0,False,error,3,0,0,"As a developer, I want to have the subdomain beta.nsf.gov be set up, so that I can deploy a beta sit...",'RequiredSkillsAgent' object has no attribute 'map_skills'
Configure deployment pipeline to use subdomain,SUB_004,"['deployment', 'devops', 'pipeline_configuration']",[],0.0,0.0,0.0,0.0,False,error,3,0,0,"As a developer, I want to have the subdomain beta.nsf.gov be set up, so that I can deploy a beta sit...",'RequiredSkillsAgent' object has no attribute 'map_skills'
Test subdomain accessibility and routing,SUB_005,"['testing', 'networking', 'troubleshooting']",[],0.0,0.0,0.0,0.0,False,error,3,0,0,"As a developer, I want to have the subdomain beta.nsf.gov be set up, so that I can deploy a beta sit...",'RequiredSkillsAgent' object has no attribute 'map_skills'
Research FISMA low requirements documentation,FIS_001,"['compliance', 'security_frameworks', 'documentation_review']",[],0.0,0.0,0.0,0.0,False,error,3,0,0,"As an NSF employee, I want to understand the process of switching the cloud.gov hosting plan over fr...",'RequiredSkillsAgent' object has no attribute 'map_skills'
Schedule meeting with cloud.gov support team,FIS_002,"['meeting_coordination', 'communication', 'stakeholder_management']",[],0.0,0.0,0.0,0.0,False,error,3,0,0,"As an NSF employee, I want to understand the process of switching the cloud.gov hosting plan over fr...",'RequiredSkillsAgent' object has no attribute 'map_skills'
Document current prototype configuration,FIS_003,"['configuration_management', 'system_analysis', 'documentation']",[],0.0,0.0,0.0,0.0,False,error,3,0,0,"As an NSF employee, I want to understand the process of switching the cloud.gov hosting plan over fr...",'RequiredSkillsAgent' object has no attribute 'map_skills'
Create migration checklist and timeline,FIS_004,"['compliance', 'project_planning', 'migration_planning']",[],0.0,0.0,0.0,0.0,False,error,3,0,0,"As an NSF employee, I want to understand the process of switching the cloud.gov hosting plan over fr...",'RequiredSkillsAgent' object has no attribute 'map_skills'
Prepare compliance documentation,FIS_005,"['compliance_documentation', 'security_protocols', 'technical_writing']",[],0.0,0.0,0.0,0.0,False,error,3,0,0,"As an NSF employee, I want to understand the process of switching the cloud.gov hosting plan over fr...",'RequiredSkillsAgent' object has no attribute 'map_skills'
Schedule meeting with DIS and cloud.gov teams,ATO_001,"['communication', 'meeting_coordination', 'stakeholder_management']",[],0.0,0.0,0.0,0.0,False,error,3,0,0,"As a team member, I want to meet with DIS / cloud.gov, so that I can determine the requirements for ...",'RequiredSkillsAgent' object has no attribute 'map_skills'
Prepare list of ATO-related questions,ATO_002,"['compliance', 'security_frameworks', 'requirement_gathering']",[],0.0,0.0,0.0,0.0,False,error,3,0,0,"As a team member, I want to meet with DIS / cloud.gov, so that I can determine the requirements for ...",'RequiredSkillsAgent' object has no attribute 'map_skills'
Document ATO requirements and timeline,ATO_003,"['compliance', 'project_planning', 'documentation']",[],0.0,0.0,0.0,0.0,False,error,3,0,0,"As a team member, I want to meet with DIS / cloud.gov, so that I can determine the requirements for ...",'RequiredSkillsAgent' object has no attribute 'map_skills'
Create compliance action plan,ATO_004,"['project_management', 'compliance', 'action_planning']",[],0.0,0.0,0.0,0.0,False,error,3,0,0,"As a team member, I want to meet with DIS / cloud.gov, so that I can determine the requirements for ...",'RequiredSkillsAgent' object has no attribute 'map_skills'
Assign responsibility for ATO tasks,ATO_005,"['team_management', 'responsibility_matrix', 'task_assignment']",[],0.0,0.0,0.0,0.0,False,error,3,0,0,"As a team member, I want to meet with DIS / cloud.gov, so that I can determine the requirements for ...",'RequiredSkillsAgent' object has no attribute 'map_skills'
