task_description,task_id,actual_skills,predicted_skills,precision,recall,f1_score,jaccard_similarity,exact_match,accuracy_category,num_actual_skills,num_predicted_skills,num_matched_skills,original_user_story
Set up cloud.gov account and project space,CLD_001,"['devops', 'account_management', 'cloud_platforms']",['general_development'],0.0,0.0,0,0.0,False,very_poor,3,1,0,"As a team member, I want to see the first iteration of beta up on cloud.gov..."
Configure deployment pipeline,CLD_002,"['devops', 'ci_cd', 'pipeline_configuration']",['general_development'],0.0,0.0,0,0.0,False,very_poor,3,1,0,"As a team member, I want to see the first iteration of beta up on cloud.gov..."
Deploy beta version to cloud.gov,CLD_003,"['deployment', 'devops', 'cloud_platforms']",['general_development'],0.0,0.0,0,0.0,False,very_poor,3,1,0,"As a team member, I want to see the first iteration of beta up on cloud.gov..."
Test deployment and verify functionality,CLD_004,"['testing', 'functional_testing', 'qa']",['general_development'],0.0,0.0,0,0.0,False,very_poor,3,1,0,"As a team member, I want to see the first iteration of beta up on cloud.gov..."
Share access credentials with team members,CLD_005,"['communication', 'access_management', 'documentation']",['general_development'],0.0,0.0,0,0.0,False,very_poor,3,1,0,"As a team member, I want to see the first iteration of beta up on cloud.gov..."
Request subdomain creation through NSF IT,SUB_001,"['communication', 'it_coordination', 'documentation']",['general_development'],0.0,0.0,0,0.0,False,very_poor,3,1,0,"As a developer, I want to have the subdomain beta.nsf.gov be set up, so that I can deploy a beta sit..."
Configure DNS settings for beta.nsf.gov,SUB_002,"['domain_configuration', 'networking', 'dns_management']",['general_development'],0.0,0.0,0,0.0,False,very_poor,3,1,0,"As a developer, I want to have the subdomain beta.nsf.gov be set up, so that I can deploy a beta sit..."
Set up SSL certificate for subdomain,SUB_003,"['security', 'certificate_management', 'ssl_certificates']",['general_development'],0.0,0.0,0,0.0,False,very_poor,3,1,0,"As a developer, I want to have the subdomain beta.nsf.gov be set up, so that I can deploy a beta sit..."
Configure deployment pipeline to use subdomain,SUB_004,"['deployment', 'devops', 'pipeline_configuration']",['general_development'],0.0,0.0,0,0.0,False,very_poor,3,1,0,"As a developer, I want to have the subdomain beta.nsf.gov be set up, so that I can deploy a beta sit..."
Test subdomain accessibility and routing,SUB_005,"['testing', 'networking', 'troubleshooting']","['url_handling', 'api_integration', 'error_handling']",0.0,0.0,0,0.0,False,very_poor,3,3,0,"As a developer, I want to have the subdomain beta.nsf.gov be set up, so that I can deploy a beta sit..."
Research FISMA low requirements documentation,FIS_001,"['compliance', 'security_frameworks', 'documentation_review']","['guideline_development', 'organizational_knowledge']",0.0,0.0,0,0.0,False,very_poor,3,2,0,"As an NSF employee, I want to understand the process of switching the cloud.gov hosting plan over fr..."
Schedule meeting with cloud.gov support team,FIS_002,"['meeting_coordination', 'communication', 'stakeholder_management']",['general_development'],0.0,0.0,0,0.0,False,very_poor,3,1,0,"As an NSF employee, I want to understand the process of switching the cloud.gov hosting plan over fr..."
Document current prototype configuration,FIS_003,"['configuration_management', 'system_analysis', 'documentation']",['general_development'],0.0,0.0,0,0.0,False,very_poor,3,1,0,"As an NSF employee, I want to understand the process of switching the cloud.gov hosting plan over fr..."
Create migration checklist and timeline,FIS_004,"['compliance', 'project_planning', 'migration_planning']","['scheduling', 'organizational_knowledge', 'availability_coordination', 'general_development', 'interview_planning', 'guideline_development']",0.0,0.0,0,0.0,False,very_poor,3,6,0,"As an NSF employee, I want to understand the process of switching the cloud.gov hosting plan over fr..."
Prepare compliance documentation,FIS_005,"['compliance_documentation', 'security_protocols', 'technical_writing']",['general_development'],0.0,0.0,0,0.0,False,very_poor,3,1,0,"As an NSF employee, I want to understand the process of switching the cloud.gov hosting plan over fr..."
Schedule meeting with DIS and cloud.gov teams,ATO_001,"['communication', 'meeting_coordination', 'stakeholder_management']",['general_development'],0.0,0.0,0,0.0,False,very_poor,3,1,0,"As a team member, I want to meet with DIS / cloud.gov, so that I can determine the requirements for ..."
Prepare list of ATO-related questions,ATO_002,"['compliance', 'security_frameworks', 'requirement_gathering']","['guideline_development', 'organizational_knowledge']",0.0,0.0,0,0.0,False,very_poor,3,2,0,"As a team member, I want to meet with DIS / cloud.gov, so that I can determine the requirements for ..."
Document ATO requirements and timeline,ATO_003,"['compliance', 'project_planning', 'documentation']",['general_development'],0.0,0.0,0,0.0,False,very_poor,3,1,0,"As a team member, I want to meet with DIS / cloud.gov, so that I can determine the requirements for ..."
Create compliance action plan,ATO_004,"['project_management', 'compliance', 'action_planning']","['protocol_briefing', 'guideline_development']",0.0,0.0,0,0.0,False,very_poor,3,2,0,"As a team member, I want to meet with DIS / cloud.gov, so that I can determine the requirements for ..."
Assign responsibility for ATO tasks,ATO_005,"['team_management', 'responsibility_matrix', 'task_assignment']",['general_development'],0.0,0.0,0,0.0,False,very_poor,3,1,0,"As a team member, I want to meet with DIS / cloud.gov, so that I can determine the requirements for ..."
