task_description,task_id,actual_points,predicted_points,absolute_error,relative_error,accuracy_category,fibonacci_compliant,original_user_story,error
Set up cloud.gov account and project space,CLD_001,3,3,0,0.0,perfect,True,"As a team member, I want to see the first iteration of beta up on cloud.gov...",
Configure deployment pipeline,CLD_002,4,3,1,0.25,error,True,"As a team member, I want to see the first iteration of beta up on cloud.gov...","Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama3-70b-8192` in organization `org_01jz0z0ad4fvsamy73qj8ntvaw` service tier `on_demand` on tokens per day (TPD): Limit 500000, Used 499963, Requested 396. Please try again in 1m2.005799999s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}"
Deploy beta version to cloud.gov,CLD_003,3,3,0,0.0,perfect,True,"As a team member, I want to see the first iteration of beta up on cloud.gov...",
Test deployment and verify functionality,CLD_004,2,3,1,0.5,error,True,"As a team member, I want to see the first iteration of beta up on cloud.gov...","Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama3-70b-8192` in organization `org_01jz0z0ad4fvsamy73qj8ntvaw` service tier `on_demand` on tokens per day (TPD): Limit 500000, Used 499969, Requested 398. Please try again in 1m3.398999999s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}"
Share access credentials with team members,CLD_005,1,1,0,0.0,perfect,True,"As a team member, I want to see the first iteration of beta up on cloud.gov...",
Request subdomain creation through NSF IT,SUB_001,2,3,1,0.5,error,True,"As a developer, I want to have the subdomain beta.nsf.gov be set up, so that I can deploy a beta sit...","Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama3-70b-8192` in organization `org_01jz0z0ad4fvsamy73qj8ntvaw` service tier `on_demand` on tokens per day (TPD): Limit 500000, Used 499977, Requested 407. Please try again in 1m6.2746s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}"
Configure DNS settings for beta.nsf.gov,SUB_002,3,3,0,0.0,error,True,"As a developer, I want to have the subdomain beta.nsf.gov be set up, so that I can deploy a beta sit...","Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama3-70b-8192` in organization `org_01jz0z0ad4fvsamy73qj8ntvaw` service tier `on_demand` on tokens per day (TPD): Limit 500000, Used 499946, Requested 406. Please try again in 1m0.740799999s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}"
Set up SSL certificate for subdomain,SUB_003,3,3,0,0.0,perfect,True,"As a developer, I want to have the subdomain beta.nsf.gov be set up, so that I can deploy a beta sit...",
Configure deployment pipeline to use subdomain,SUB_004,3,3,0,0.0,error,True,"As a developer, I want to have the subdomain beta.nsf.gov be set up, so that I can deploy a beta sit...","Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama3-70b-8192` in organization `org_01jz0z0ad4fvsamy73qj8ntvaw` service tier `on_demand` on tokens per day (TPD): Limit 500000, Used 499985, Requested 408. Please try again in 1m7.8078s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}"
Test subdomain accessibility and routing,SUB_005,2,3,1,0.5,acceptable,True,"As a developer, I want to have the subdomain beta.nsf.gov be set up, so that I can deploy a beta sit...",
Research FISMA low requirements documentation,FIS_001,4,3,1,0.25,acceptable,True,"As an NSF employee, I want to understand the process of switching the cloud.gov hosting plan over fr...",
Schedule meeting with cloud.gov support team,FIS_002,2,3,1,0.5,acceptable,True,"As an NSF employee, I want to understand the process of switching the cloud.gov hosting plan over fr...",
Document current prototype configuration,FIS_003,3,3,0,0.0,perfect,True,"As an NSF employee, I want to understand the process of switching the cloud.gov hosting plan over fr...",
Create migration checklist and timeline,FIS_004,4,3,1,0.25,acceptable,True,"As an NSF employee, I want to understand the process of switching the cloud.gov hosting plan over fr...",
Prepare compliance documentation,FIS_005,3,3,0,0.0,perfect,True,"As an NSF employee, I want to understand the process of switching the cloud.gov hosting plan over fr...",
Schedule meeting with DIS and cloud.gov teams,ATO_001,2,3,1,0.5,error,True,"As a team member, I want to meet with DIS / cloud.gov, so that I can determine the requirements for ...","Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama3-70b-8192` in organization `org_01jz0z0ad4fvsamy73qj8ntvaw` service tier `on_demand` on tokens per day (TPD): Limit 500000, Used 499959, Requested 411. Please try again in 1m3.864599999s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}"
Prepare list of ATO-related questions,ATO_002,3,3,0,0.0,perfect,True,"As a team member, I want to meet with DIS / cloud.gov, so that I can determine the requirements for ...",
Document ATO requirements and timeline,ATO_003,4,3,1,0.25,error,True,"As a team member, I want to meet with DIS / cloud.gov, so that I can determine the requirements for ...","Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama3-70b-8192` in organization `org_01jz0z0ad4fvsamy73qj8ntvaw` service tier `on_demand` on tokens per day (TPD): Limit 500000, Used 500030, Requested 409. Please try again in 1m15.9766s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}"
Create compliance action plan,ATO_004,3,3,0,0.0,error,True,"As a team member, I want to meet with DIS / cloud.gov, so that I can determine the requirements for ...","Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama3-70b-8192` in organization `org_01jz0z0ad4fvsamy73qj8ntvaw` service tier `on_demand` on tokens per day (TPD): Limit 500000, Used 500000, Requested 407. Please try again in 1m10.224s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}"
